nodes,10,11,13,15,17,20,23,26,30,35,40,47,54,62,71,82,95,109,126,145,167,193,222,255,294,339,390,449,517,596,686,790,910,1048,1206,1389,1599,1842,2120,2442,2811,3237,3727,4291,4941,5689,6551,7543,8685,10000
lifan-CR2-64p-dec_bytes,1210.0,1331.0,1573.0,1790.8,2057.0,2420.0,2783.0,3097.6,3630.0,4186.6,4840.0,5638.6,6534.0,7453.6,8494.2,9825.2,11349.8,13092.2,15100.8,17121.5,19795.6,22917.4,26027.1,30044.3,34315.6,39276.6,45084.6,50650.6,58491.4,66550.0,74729.6,85668.0,96098.2,108137.7,120479.7,135181.2,147777.3,159405.4,161777.0,160228.2,150620.8,139658.2,125670.6,110678.7,95505.3,79521.2,64323.6,51062.0,39252.4,28556.0
lifan-CR2-64p-dec_pckts,10.0,11.0,13.0,14.8,17.0,20.0,23.0,25.6,30.0,34.6,40.0,46.6,54.0,61.6,70.2,81.2,93.8,108.2,124.8,141.5,163.6,189.4,215.1,248.3,283.6,324.6,372.6,418.6,483.4,550.0,617.6,708.0,794.2,893.7,995.7,1117.2,1221.3,1317.4,1337.0,1324.2,1244.8,1154.2,1038.6,914.7,789.3,657.2,531.6,422.0,324.4,236.0
lifan-CR2-64p-col_pckts,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.4,0.0,0.4,0.0,0.4,0.0,0.4,0.8,0.8,1.2,0.8,1.2,3.5,3.4,3.6,6.9,6.7,10.4,14.4,17.4,30.4,33.6,46.0,68.4,82.0,115.8,154.3,210.3,271.3,374.7,486.8,638.2,758.9,909.7,1072.4,1257.8,1465.7,1684.3,1929.5,2190.3,2449.7,2720.8,2996.2
lifan-CR1-64p-dec_bytes,580.0,638.0,754.0,870.0,986.0,1160.0,1322.4,1496.4,1740.0,2030.0,2320.0,2702.8,3103.0,3561.2,4118.0,4709.6,5469.4,6275.6,7255.8,8381.0,9616.4,11124.4,12765.8,14639.2,16843.2,19296.6,21976.2,25502.6,29075.4,33367.4,38309.0,43882.8,49862.6,57269.2,64641.0,74019.6,83891.2,94563.2,106192.2,115420.0,120164.4,116812.0,108651.4,100548.8,89476.6,77830.2,67216.2,56161.4,45153.0,35542.4
lifan-CR1-64p-dec_pckts,10.0,11.0,13.0,15.0,17.0,20.0,22.8,25.8,30.0,35.0,40.0,46.6,53.5,61.4,71.0,81.2,94.3,108.2,125.1,144.5,165.8,191.8,220.1,252.4,290.4,332.7,378.9,439.7,501.3,575.3,660.5,756.6,859.7,987.4,1114.5,1276.2,1446.4,1630.4,1830.9,1990.0,2071.8,2014.0,1873.3,1733.6,1542.7,1341.9,1158.9,968.3,778.5,612.8
lifan-CR1-64p-col_pckts,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.4,0.5,0.6,0.0,0.8,0.7,0.8,0.9,0.5,1.2,1.2,1.9,2.6,3.6,6.3,11.1,9.3,15.7,20.7,25.5,33.4,50.3,60.6,91.5,112.8,152.6,211.6,287.0,397.5,490.4,585.8,685.1,765.0,871.3,1000.1,1120.6,1252.5,1408.6,1550.2
driver-CR2-64p-dec_bytes,1210.0,1331.0,1573.0,1815.0,2057.0,2420.0,2783.0,3146.0,3630.0,4235.0,4840.0,5687.0,6534.0,7502.0,8591.0,9922.0,11495.0,13189.0,15246.0,17532.9,20194.9,23316.7,26813.6,30806.6,35501.4,40849.6,47044.8,54147.5,62169.8,71765.1,82401.0,94561.5,108887.9,124714.7,142622.7,163725.1,188142.9,210116.5,226100.6,232840.3,229077.2,224818.0,218247.7,208059.5,191785.0,177192.4,159260.2,134007.5,110920.7,89164.9
driver-CR2-64p-dec_pckts,10.0,11.0,13.0,15.0,17.0,20.0,23.0,26.0,30.0,35.0,40.0,47.0,54.0,62.0,71.0,82.0,95.0,109.0,126.0,144.9,166.9,192.7,221.6,254.6,293.4,337.6,388.8,447.5,513.8,593.1,681.0,781.5,899.9,1030.7,1178.7,1353.1,1554.9,1736.5,1868.6,1924.3,1893.2,1858.0,1803.7,1719.5,1585.0,1464.4,1316.2,1107.5,916.7,736.9
driver-CR2-64p-col_pckts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.4,0.4,0.6,1.4,1.2,1.5,3.2,2.9,5.0,8.5,10.1,17.3,27.3,35.7,42.2,64.9,95.2,120.3,178.6,220.2,271.7,350.9,485.1,615.9,792.3,1044.1,1315.4,1609.0
