nodes,10,11,13,15,17,20,23,26,30,35,40,47,54,62,71,82,95,109,126,145,167,193,222,255,294,339,390,449,517,596,686,790,910,1048,1206,1389,1599,1842,2120,2442,2811,3237,3727,4291,4941,5689,6551,7543,8685,10000,11578,13405,15520,17969,20805,24088
lifan-CR1-1000p-dec_pckts-base,9.8,11.0,13.0,15.0,17.0,20.0,23.0,26.0,30.0,34.4,40.0,46.6,53.4,61.2,70.0,80.6,91.8,107.8,123.2,142.3,162.4,187.2,215.2,246.2,283.4,322.6,365.0,416.5,473.2,544.1,614.5,696.3,787.5,887.3,986.8,1120.6,1244.0,1378.2,1516.3,1637.1,1799.9,1764.1,1645.2,1477.4,1235.0,1004.1,743.3,496.7,304.8,208.5,138.7,99.6,72.5,54.4,37.2,25.5
lifan-CR1-1000p-col_pckts-base,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.4,0.6,0.8,1.0,1.4,3.2,1.2,2.8,2.7,4.6,5.8,6.8,8.8,10.6,16.4,25.0,32.5,43.8,51.9,71.5,93.7,122.5,160.7,219.2,268.4,355.0,463.8,603.7,804.9,1010.9,1232.0,1354.8,1522.6,1765.0,1995.9,2256.7,2503.3,2695.2,2791.5,2861.3,2900.4,2927.5,2945.6,2962.8,2974.5
driver-CR1-100p-dec_bytes,580.0,638.0,754.0,870.0,986.0,1160.0,1334.0,1508.0,1740.0,2030.0,2320.0,2726.0,3132.0,3596.0,4118.0,4756.0,5510.0,6322.0,7308.0,8410.0,9674.4,11194.0,12876.0,14790.0,17052.0,19662.0,22608.4,26018.8,29986.0,34533.2,38500.4,40014.2,40414.4,39486.4,38923.8,37102.6,35484.4,33216.6,31093.8,28304.0,25009.6,21141.0,17260.8,13641.6,10329.8,8247.6,6113.2,4599.4,3619.2,2598.4,1264.4,580.0,208.8,75.4,17.4,0.0
driver-CR1-100p-dec_pckts,10.0,11.0,13.0,15.0,17.0,20.0,23.0,26.0,30.0,35.0,40.0,47.0,54.0,62.0,71.0,82.0,95.0,109.0,126.0,145.0,166.8,193.0,222.0,255.0,294.0,339.0,389.8,448.6,517.0,595.4,663.8,689.9,696.8,680.8,671.1,639.7,611.8,572.7,536.1,488.0,431.2,364.5,297.6,235.2,178.1,142.2,105.4,79.3,62.4,44.8,21.8,10.0,3.6,1.3,0.3,0.0
driver-CR1-100p-col_pckts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.2,0.6,0.4,0.2,1.4,1.7,2.6,4.1,10.4,18.4,37.3,68.6,112.1,161.5,214.0,273.0,317.6,360.1,386.4,410.5,439.1,473.6,489.8,496.6,498.9,499.7,500.0
driver-CR1-100p-dec_bytes-base,580.0,638.0,754.0,870.0,986.0,1160.0,1334.0,1508.0,1740.0,2030.0,2320.0,2726.0,3132.0,3596.0,4118.0,4756.0,5510.0,6322.0,7308.0,8410.0,9686.0,11194.0,12864.4,14761.0,16153.0,16976.6,17376.8,17400.0,17388.4,17388.4,17400.0,17376.8,17400.0,17388.4,17382.6,17336.2,17231.8,16941.8,16495.2,15619.4,14175.2,12116.2,9842.6,7719.8,6240.8,5127.2,4274.6,3288.6,2523.0,1397.8,754.0,359.6,110.2,23.2,5.8,0.0
driver-CR1-100p-dec_pckts-base,10.0,11.0,13.0,15.0,17.0,20.0,23.0,26.0,30.0,35.0,40.0,47.0,54.0,62.0,71.0,82.0,95.0,109.0,126.0,145.0,167.0,193.0,221.8,254.5,278.5,292.7,299.6,300.0,299.8,299.8,300.0,299.6,300.0,299.8,299.7,298.9,297.1,292.1,284.4,269.3,244.4,208.9,169.7,133.1,107.6,88.4,73.7,56.7,43.5,24.1,13.0,6.2,1.9,0.4,0.1,0.0
driver-CR1-100p-col_pckts-base,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.1,0.0,0.2,0.2,0.0,0.4,0.0,0.2,0.3,1.1,2.9,7.9,15.6,30.7,55.6,91.1,130.3,166.9,192.4,211.6,226.3,243.3,256.5,275.9,287.0,293.8,298.1,299.6,299.9,300.0
driver-CR1-1000p-dec_bytes,580.0,638.0,754.0,870.0,986.0,1160.0,1334.0,1508.0,1740.0,2030.0,2320.0,2726.0,3120.4,3596.0,4118.0,4756.0,5510.0,6322.0,7308.0,8410.0,9686.0,11194.0,12876.0,14778.4,17040.4,19662.0,22596.8,26030.4,29986.0,34556.4,39770.6,45773.6,52756.8,60726.0,69791.4,80167.6,92028.6,104974.2,117548.6,129287.8,135818.6,134206.2,119021.8,88374.6,66050.4,49201.4,31610.0,18734.0,12690.4,8937.8,4930.0,2053.2,580.0,168.2,29.0,0.0
driver-CR1-1000p-dec_pckts,10.0,11.0,13.0,15.0,17.0,20.0,23.0,26.0,30.0,35.0,40.0,47.0,53.8,62.0,71.0,82.0,95.0,109.0,126.0,145.0,167.0,193.0,222.0,254.8,293.8,339.0,389.6,448.8,517.0,595.8,685.7,789.2,909.6,1047.0,1203.3,1382.2,1586.7,1809.9,2026.7,2229.1,2341.7,2313.9,2052.1,1523.7,1138.8,848.3,545.0,323.0,218.8,154.1,85.0,35.4,10.0,2.9,0.5,0.0
