nodesinf,10,11,13,15,17,20,23,26,30,35,40,47,54,62,71,82,95,109,126,145,167,193,222,255,294,339,390,449,517,596,686,790,910,1048,1206,1389,1599,1842,2120,2442,2811,3237,3727,4291,4941,5689,6551,7543,8685,10000,11578,13405,15520,17969,20805,24088,27890,32291,37387,43287,50118
lifan-CR1-infp-col_pckts,0.066667,0.0,0.0,0.066667,0.0,0.0,0.066667,0.0,0.0,0.466667,0.133333,0.5,0.466667,0.4,0.8,1.0,1.533333,1.0,2.966667,3.233333,4.133333,6.333333,7.533333,8.066667,14.2,18.066667,25.833333,29.633333,40.466667,55.4,72.366667,92.533333,123.166667,162.6,211.566667,281.333333,360.233333,463.533333,604.533333,788.433333,1022.033333,1310.466667,1695.033333,2196.6,2889.3,3798.3,4956.4,6312.066667,7822.166667,9399.466667,11147.533333,13095.833333,15291.933333,17804.466667,20687.666667,24008.933333,27838.5,32257.966667,37369.3,43276.8,50112.533333
driver-CR1-infp-col_pckts,0.0,0.0,0.0,0.066667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.133333,0.066667,0.133333,0.0,0.133333,0.0,0.066667,0.133333,0.6,0.6,0.366667,0.866667,1.566667,3.5,5.3,18.0,45.5,110.033333,250.433333,538.166667,1013.9,1750.2,2681.833333,3724.433333,4804.6,5932.5,7118.733333,8427.466667,9854.633333,11511.533333,13380.066667,15512.9,17967.1,20804.633333,24087.966667,27890.0,32291.0,37387.0,43287.0,50118.0
lemgreen-CR1-infp-col_pckts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001075,0.001878,0.000813,0.000702,0.000612,0.001058,0.001839,0.001597,0.000691,0.002703,0.002876,0.003855,0.003835,0.004103,0.004454,0.00619,0.007383,0.008406,0.008945,0.009267,0.012341,0.01183,0.018191,0.022556,0.036609,0.067579,0.133989,0.236986,0.385532,0.554297,0.69784,0.806085,0.87801,0.924958,0.956277,0.976768,0.989533,0.996191,0.999013,0.999757,0.999952,0.999992,0.999999,1.0,1.0,1.0,1.0,1.0
