nodesCR1,1e3,2e3,5e3,7.5e3,1e4,1.25e4,1.5e4,1.75e4,2e4,2.25e4,2.5e4,2.75e4,3e4,3.33e4,3.66e4,4e4,4.5e4,5e4,5.5e4,6e4,7e4,8e4,9e4,1e5
nodesCR2,1e3,2e3,3e3,4e3,5e3,6e3,7e3,8e3,9e3,1e4,1.2e4,1.4e4,1.6e4,1.8e4,2e4,2.33e4,2.66e4,3e4,3.5e4,4e4,4.5e4,5e4,6e4,1e5
li-fan-2l-CR1,0.029867,0.057267,0.1385,0.199284,0.2583,0.310869,0.360944,0.409773,0.459898,0.512052,0.567805,0.625872,0.684378,0.760423,0.825484,0.879765,0.93467,0.966221,0.98158,0.989312,0.994957,0.996825,0.997874,0.998474
li-fan-2l-CR2,0.029,0.056617,0.086,0.114642,0.14284,0.182428,0.2215,0.274283,0.329793,0.393153,0.524636,0.652336,0.75811,0.841978,0.898408,0.952941,0.977554,0.988577,0.994683,0.996694,0.997786,0.998443,0.999075,0.999772
lr-fhss-driver-CR1,0.0002,0.000367,0.001053,0.006596,0.03544,0.115493,0.256013,0.432981,0.607298,0.749874,0.847911,0.910368,0.946758,0.97089,0.982402,0.988568,0.993265,0.995961,0.997672,0.998592,0.999531,0.999857,0.999963,0.999987
lr-fhss-driver-CR2,0.001,0.009267,0.042744,0.1095,0.2108,0.339989,0.469457,0.594996,0.702796,0.787553,0.900175,0.955886,0.980185,0.990206,0.995207,0.998172,0.999264,0.999744,0.999943,0.999978,0.999997,1.0,1.0,1.0
